Panel	SGDP_ID	Population_ID	Region	Country	Contributor	Gender	Latitude	Longitude	Coverage	HetRateAuto													
C	S_Bougainville-1	Bougainville	Oceania	PapuaNewGuinea	Howard Cann	F	-6.0	155.0	39	0.00062													
C	S_Bougainville-2	Bougainville	Oceania	PapuaNewGuinea	Howard Cann	F	-6.0	155.0	36	0.00064													
C	S_Dusun-1	Dusun	Oceania	Brunei	Toomas Kivisild / M. Syafiq Abdullah	F	4.7	114.7	47	0.00063													
C	S_Dusun-2	Dusun	Oceania	Brunei	Toomas Kivisild / M. Syafiq Abdullah	F	4.7	114.7	36	0.00065													
C	S_Hawaiian-1	Hawaiian	Oceania	USA	Coriell	M	21.3	-157.8	41	0.00067													
C	S_Igorot-1	Igorot	Oceania	Philippines	Toomas Kivisild / Joseph Wee Tien Seng	F	17.1	121.0	36	0.00063													
C	S_Igorot-2	Igorot	Oceania	Philippines	Toomas Kivisild / Joseph Wee Tien Seng	M	17.1	121.0	42	0.0006													
C	S_Maori-1	Maori	Oceania	New Zealand	Coriell	M	-41.3	174.5	34	0.00078													
A	A_Papuan-16	Papuan	Oceania	PapuaNewGuinea	Howard Cann	M	-4	143	26	0.00063													
B	B_Papuan-15	Papuan	Oceania	PapuaNewGuinea	Howard Cann	M	-4	143	43	0.00058													
C	S_Papuan-1	Papuan	Oceania	PapuaNewGuinea	Howard Cann	F	-4.0	143.0	41	0.00058													
C	S_Papuan-10	Papuan	Oceania	PapuaNewGuinea	Howard Cann	M	-4.0	143.0	40	0.00058													
C	S_Papuan-11	Papuan	Oceania	PapuaNewGuinea	Howard Cann	M	-4.0	143.0	39	0.00057													
C	S_Papuan-12	Papuan	Oceania	PapuaNewGuinea	Howard Cann	M	-4.0	143.0	42	0.00058													
C	S_Papuan-13	Papuan	Oceania	PapuaNewGuinea	Howard Cann	F	-4.0	143.0	40	0.00058													
C	S_Papuan-14	Papuan	Oceania	PapuaNewGuinea	Howard Cann	F	-4.0	143.0	33	0.00058													
C	S_Papuan-2	Papuan	Oceania	PapuaNewGuinea	Howard Cann	M	-4.0	143.0	44	0.00055													
C	S_Papuan-3	Papuan	Oceania	PapuaNewGuinea	Howard Cann	M	-4.0	143.0	31	0.00056													
C	S_Papuan-4	Papuan	Oceania	PapuaNewGuinea	Howard Cann	M	-4.0	143.0	45	0.00056													
C	S_Papuan-5	Papuan	Oceania	PapuaNewGuinea	Howard Cann	M	-4.0	143.0	49	0.00057													
C	S_Papuan-6	Papuan	Oceania	PapuaNewGuinea	Howard Cann	M	-4.0	143.0	41	0.00058													
C	S_Papuan-7	Papuan	Oceania	PapuaNewGuinea	Howard Cann	M	-4.0	143.0	47	0.00057													
C	S_Papuan-8	Papuan	Oceania	PapuaNewGuinea	Howard Cann	M	-4.0	143.0	43	0.00058													
C	S_Papuan-9	Papuan	Oceania	PapuaNewGuinea	Howard Cann	M	-4.0	143.0	41	0.00059													
C	S_Balochi-1	Balochi	SouthAsia	Pakistan	Howard Cann	M	30.5	66.5	40	0.00068													
C	S_Bengali-1	Bengali	SouthAsia	Bangladesh	1KG	M	23.7	90.4	42	0.00076													
C	S_Bengali-2	Bengali	SouthAsia	Bangladesh	1KG	F	23.7	90.4	32	0.00074													
C	S_Brahmin-1	Brahmin	SouthAsia	India	Lynn Jorde / Mike Bamshad / Scott Watkins	M	17.7	83.3	49	0.00076													
C	S_Brahmin-2	Brahmin	SouthAsia	India	Lynn Jorde / Mike Bamshad / Scott Watkins	M	17.7	83.3	34	0.00075													
C	S_Brahui-1	Brahui	SouthAsia	Pakistan	Howard Cann	M	30.5	66.5	36	0.00075													
C	S_Brahui-2	Brahui	SouthAsia	Pakistan	Howard Cann	M	30.5	66.5	33	0.00069													
C	S_Burusho-1	Burusho	SouthAsia	Pakistan	Howard Cann	M	36.5	74.0	40	0.00074													
C	S_Burusho-2	Burusho	SouthAsia	Pakistan	Howard Cann	F	36.5	74.0	39	0.00075													
C	S_Hazara-1	Hazara	SouthAsia	Pakistan	Howard Cann	M	33.5	70.0	54	0.00074													
C	S_Hazara-2	Hazara	SouthAsia	Pakistan	Howard Cann	M	33.5	70.0	31	0.00072													
C	S_Irula-1	Irula	SouthAsia	India	Lynn Jorde / Mike Bamshad / Scott Watkins	M	13.5	80.0	48	0.00074													
